contestId,index,name,tags,rating,solvedCount
2106,G2,Baudelaire (hard version),"['binary search', 'dfs and similar', 'divide and conquer', 'implementation', 'interactive', 'trees']",2500,446
2106,G1,Baudelaire (easy version),"['binary search', 'constructive algorithms', 'divide and conquer', 'greedy', 'interactive', 'trees']",2200,1272
2106,F,Goblin,"['dfs and similar', 'dp', 'dsu', 'greedy', 'math']",1900,3289
2106,E,Wolf,"['binary search', 'greedy', 'math']",1800,4662
2106,D,Flower Boy,"['binary search', 'dp', 'greedy', 'two pointers']",1500,9472
2106,C,Cherry Bomb,"['greedy', 'math', 'sortings']",1000,20694
2106,B,St. Chroma,"['constructive algorithms', 'greedy', 'math']",900,23471
2106,A,Dr. TC,"['brute force', 'math']",800,30908
2104,G,Modulo 3,"['data structures', 'divide and conquer', 'dsu', 'graphs', 'trees']",2700,337
2104,F,Numbers and Strings,"['binary search', 'brute force', 'dfs and similar', 'dp', 'implementation', 'math']",2600,539
2104,E,Unpleasant Strings,"['binary search', 'dp', 'greedy', 'strings']",1700,6238
2104,D,Array and GCD,"['binary search', 'greedy', 'math', 'number theory']",1400,10351
2104,C,Card Game,"['brute force', 'constructive algorithms', 'games', 'greedy', 'math']",1100,14321
2104,B,Move to the End,"['brute force', 'data structures', 'dp', 'greedy', 'implementation']",1000,16558
2104,A,Three Decks,['math'],800,21648
2103,F,Maximize Nor,"['bitmasks', 'data structures', 'dp', 'implementation', 'sortings']",2600,470
2103,E,Keep the Sum,"['constructive algorithms', 'implementation', 'two pointers']",2600,425
2103,D,Local Construction,"['constructive algorithms', 'dfs and similar', 'implementation', 'two pointers']",2000,3171
2103,C,Median Splits,"['binary search', 'greedy', 'implementation', 'sortings']",1600,8459
2103,B,Binary Typewriter,"['greedy', 'math']",1100,15013
2103,A,Common Multiple,"['brute force', 'greedy', 'implementation', 'math']",800,21876
2102,B,The Picky Cat,"['implementation', 'sortings']",900,15988
2102,A,Dinner Time,"['constructive algorithms', 'math']",900,17383
2101,F,Shoo Shatters the Sunshine,"['combinatorics', 'dp', 'trees']",3300,89
2101,E,Kia Bakes a Cake,"['data structures', 'dp', 'greedy', 'trees']",3100,169
2101,D,Mani and Segments,"['data structures', 'implementation', 'sortings', 'two pointers']",2500,708
2101,C,23 Kingdom,"['binary search', 'brute force', 'data structures', 'greedy', 'ternary search', 'two pointers']",2200,1652
2101,B,Quartet Swapping,"['brute force', 'data structures', 'divide and conquer', 'greedy', 'sortings']",1800,5336
2101,A,Mex in the Grid,"['constructive algorithms', 'implementation']",1300,11070
2098,B,Sasha and the Apartment Purchase,"['math', 'sortings']",1400,5909
2098,A,Vadim's Collection,"['brute force', 'greedy']",800,12133
2097,F,Lost Luggage,"['dp', 'flows']",3500,75
2097,E,Clearing the Snowdrift,"['data structures', 'dfs and similar', 'dp', 'greedy']",3100,141
2097,D,Homework,"['bitmasks', 'math', 'matrices']",2800,344
2097,C,Bermuda Triangle,"['chinese remainder theorem', 'geometry', 'implementation', 'math', 'number theory']",2400,722
2097,B,Baggage Claim,"['combinatorics', 'dfs and similar', 'dp', 'dsu', 'graphs', 'implementation', 'math', 'trees']",2300,1376
2097,A,Sports Betting,"['2-sat', 'brute force', 'math', 'sortings']",1400,6444
2096,H,Wonderful XOR Problem,"['bitmasks', 'combinatorics', 'dp', 'fft', 'math']",3200,119
